Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Credit_History,Property_Area,Loan_Status
Male,Yes,0,Graduate,No,5000,2000,150,1,Urban,Y
Male,No,1,Graduate,No,3000,0,100,1,Rural,N
Female,Yes,0,Graduate,No,4000,1500,120,1,Semiurban,Y
Male,Yes,2,Not Graduate,Yes,2500,1000,90,0,Rural,N
Female,No,0,Graduate,No,6000,0,180,1,Urban,Y
Male,Yes,3,Graduate,No,3500,1200,110,1,Semiurban,Y
Male,No,0,Not Graduate,No,2000,0,70,0,Rural,N
Female,Yes,1,Graduate,Yes,4500,1800,140,1,Urban,Y
Male,Yes,0,Graduate,No,2800,500,95,1,Semiurban,Y
Female,No,2,Graduate,No,3200,0,100,0,Rural,N
